ID,Name,Descriptive Name,Description,Domain,Owner,IsCompliance,Status,Version,NumberUsers
DP001,ProfeciaMonitor,Monitor de Pociones,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,True,Production,1.4.0,65
DP002,CriaturaWatch,Sistema de Seguimiento de Hechizos,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,True,Production,2.7.0,100
DP003,EstelarMap,Aplicacion de Transfiguraciones,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,False,Deprecated,0.4.1,38
DP004,Transfigurator,Monitor de Pociones,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,3.0.0,100
DP005,CriaturaWatch,Vigilante de Criaturas Magicas,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,2.3.7,76
DP006,EstelarMap,Guardian de la Historia,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,True,Production,3.0.0,96
DP007,TrackHechizo,Mapa Estelar,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,False,Deprecated,2.9.2,100
DP008,ProfeciaMonitor,Mapa Estelar,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Production,1.0.0,62
DP009,HerboApp,Mapa Estelar,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,False,Production,2.3.7,90
DP010,Transfigurator,Aplicacion de Transfiguraciones,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,False,Deprecated,0.6.2,43
DP011,Transfigurator,Monitor de Profecias,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Alastor Moody,True,Production,0.3.9,100
DP012,HerboApp,Vigilante de Criaturas Magicas,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,True,Production,1.0.0,100
DP013,HerboApp,Aplicacion de Herbologia,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,False,Production,2.0.0,99
DP014,CriaturaWatch,Monitor de Profecias,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,False,Deprecated,2.6.2,20
DP015,ProfeciaMonitor,Monitor de Pociones,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,True,Production,1.0.0,100
DP016,Transfigurator,Registro de Encantamientos,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Production,1.3.9,75
DP017,HerboApp,Sistema de Seguimiento de Hechizos,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Firenze,False,Deprecated,0.2.4,58
DP018,HistoriKeeper,Sistema de Seguimiento de Hechizos,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,False,Deprecated,2.5.2,100
DP019,HerboApp,Monitor de Profecias,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Severus Snape,True,Production,1.0.0,93
DP020,EstelarMap,Monitor de Profecias,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,1.0.0,100
